_id,iz_id,um_id,broj
154,7980,82882,471
155,8355,94546,771
156,75227,8582,64
157,38725,53000,853
158,67996,18258,588
159,9239,32411,770
160,66192,62012,622
161,10839,7595,874
162,28739,89046,66
163,55545,40174,918
164,90014,80867,499
165,10005,68084,374
166,90196,13150,563
167,66210,87294,796
168,97377,14787,58
169,22176,70462,771
170,4589,73316,998
171,77542,65389,647
172,26575,55362,32
173,47600,28689,571
174,42364,1672,976
175,46614,94542,679
176,6605,49341,548
177,72710,49476,903
178,72158,87010,884
179,81699,31328,506
180,38458,16428,58
181,41390,27318,477
182,17832,54951,305
183,18833,96331,562
184,26620,65756,242
185,62735,55636,402
186,64433,7952,372
187,35226,13150,872
188,40585,61014,9
189,22204,3124,370
190,47015,50339,754
191,3757,96715,727
192,53616,3631,846
193,31814,2968,195
194,86697,85792,880
195,47032,63267,446
196,40880,30618,582
197,43967,99799,712
198,42161,1054,912
199,72002,25854,999
200,66176,34147,542
201,42008,97619,268
202,73742,31413,759
203,97285,98446,190
204,90396,47159,705
205,19169,19454,949
206,73577,42278,887
207,68910,65032,370
208,9323,18683,898
209,13327,83030,142
210,25058,21189,701
211,28252,95650,495
212,56039,72413,775
213,1784,11311,679
214,63799,20174,901
215,14321,67830,90
216,51508,74094,272
217,81251,56737,750
218,85662,18426,1
219,80251,39,732
220,5698,17681,643
221,43446,55138,782
222,71958,43538,391
223,81832,37149,268
224,2471,83107,18
225,11760,19017,968
226,65322,24431,397
227,3409,3393,800
228,63335,637,559
229,12128,55151,58
230,3429,71915,811
231,31436,6021,490
232,74445,98158,466
233,89363,14163,762
234,94617,79597,733
235,90975,41945,390
236,65633,44340,131
237,7177,48914,826
238,26899,53354,217
239,21253,4977,191
240,97375,60865,154
241,67488,19723,81
242,50114,1482,180
243,96228,65460,20
244,14409,68736,929
245,94467,93621,133
246,80063,67979,602
247,43752,58057,179
248,56880,55944,426
249,53210,93443,600
250,16475,56923,283
251,80762,74987,59
252,81433,38149,177
253,28136,96027,744
254,15230,21143,171
255,98176,19220,328
256,20030,51801,934
257,50240,78560,39
258,61114,53297,859
259,25319,46872,932
260,28047,1377,29
261,56482,9402,746
262,15794,7220,850
263,55400,58240,276
264,78312,1633,666
265,87056,22696,118
266,23354,75640,381
267,59880,49272,910
268,87745,88269,590
269,40746,57328,32
270,54531,29218,280
271,94565,30435,393
272,65557,931,833
273,66750,56506,749
274,9248,79893,252
275,16356,68679,647
276,769,84623,47
277,72530,197,912
278,55024,84589,31
279,28111,90408,518
280,72261,45444,52
281,33357,6830,1000
282,93193,4507,7
283,40825,37122,510
284,28514,95393,871
285,77232,6616,987
286,3687,78564,217
287,55830,59229,453
288,8861,5293,397
289,16656,79591,50
290,32887,36201,942
291,7778,1928,335
292,81013,14200,789
293,24990,37183,109
294,13250,14148,398
295,72723,9458,777
296,95233,76683,176
297,81625,73328,330
298,3433,54259,344
299,30205,86375,839
300,67204,65903,269
301,86888,54210,786
302,97482,85893,783
303,87235,50029,124
304,32456,31677,587
305,33179,57,950
306,49300,90667,889
307,20359,86156,627
308,17541,93609,761
309,99369,38190,999
310,6938,16256,113
311,20902,86129,616
312,67853,69196,285
313,26358,25172,175
314,7480,3602,960
315,41377,6081,348
316,73798,3407,65
317,17455,35020,560
318,4274,56764,2
319,10002,82277,284
320,89507,51852,520
321,10308,15001,642
322,34580,70778,639
323,56428,81196,635
324,29162,93681,645
325,9173,50875,343
326,35149,90065,996
327,89889,31391,469
328,62081,2702,616
329,73659,60880,152
330,70719,12936,831
331,57466,33237,790
332,54541,52212,55
333,66427,75874,389
334,52542,58240,727
335,92321,52877,878
336,68145,97222,215
337,87286,64848,596
338,21973,51523,685
339,96952,30264,18
340,85926,5407,253
341,76309,59875,930
342,75527,10255,823
343,47890,17521,372
344,44679,70906,666
345,55706,77278,887
346,17784,96339,952
347,81363,76344,457
348,67147,97937,567
349,40758,37860,128
350,54312,67775,178
351,7836,4314,788
352,48480,33217,993
353,28133,51512,333
354,26512,5125,537
355,34097,45394,891
356,89088,72664,229
357,94771,81574,258
358,36571,95386,553
359,97670,24870,105
360,30646,17931,116
361,83028,44657,503
362,31055,54957,847
363,71989,54698,318
364,48391,9486,975
365,46552,2528,757
366,31765,25662,919
367,69564,54887,952
368,85821,98039,80
369,67668,48464,333
370,83682,97058,477
371,30575,1711,729
372,13737,26884,561
373,90726,52310,638
374,86015,12548,910
375,89975,12444,907
376,60841,12678,293
377,47001,25927,211
378,69518,36568,807
379,32830,88039,387
380,36594,80454,505
381,88729,23340,534
382,49469,69603,961
383,1229,63812,44
384,90016,81671,371
385,23426,93918,133
386,87709,11908,320
387,81105,7568,822
388,1790,93821,799
389,52645,50053,176
390,3065,85068,297
391,77591,5426,558
392,2732,99619,507
393,70204,17462,331
394,29947,30664,112
395,75159,35852,877
396,59933,79485,657
397,85006,8219,150
398,34673,50120,627
399,16612,46412,111
400,792,52225,83
401,14111,60221,821
402,9403,42011,77
403,20942,12669,819
404,68130,25636,151
405,48228,18404,466
406,37328,95060,313
407,67968,4680,678
408,70923,91046,137
409,39411,98767,262
410,2403,30888,73
411,17586,90589,517
412,88210,85597,988
413,40630,79068,948
414,95303,50419,817
415,33808,58954,198
416,77255,12873,157
417,98886,79706,104
418,16529,70727,176
419,79679,80584,817
420,26148,2459,65
421,64805,7209,363
422,54259,85048,598
423,63734,77232,254
424,68428,88969,292
425,1037,20513,941
426,15500,19884,328
427,97582,1225,510
428,54124,42299,251
429,13886,53478,52
430,3704,83140,610
431,46857,98809,157
432,91803,3280,380
433,32547,75843,428
434,30670,44685,24
435,64685,10219,483
436,53981,50978,658
437,8347,39724,605
438,11722,14262,462
439,97088,71349,215
440,67815,98977,67
441,79474,91185,107
442,1870,89325,510
443,68511,74004,77
444,93300,13952,443
445,78048,20042,348
446,29789,99053,431
447,20652,1021,398
448,63454,28655,858
449,2430,26373,68
450,7924,99925,411
451,28228,76451,455
452,53469,35140,487
453,68969,65567,593
454,82458,24472,361
455,58249,61210,730
456,64873,54092,687
457,14185,90004,265
458,37273,61979,451
459,99097,77960,788
460,606,40954,700
461,18005,76317,494
462,49312,62042,507
463,56685,59491,828
464,71355,77026,915
465,46407,36915,188
466,95046,6279,472
467,12135,78186,283
468,92545,19501,567
469,44280,35305,986
470,56649,88791,312
471,4775,51013,862
472,33804,97743,378
473,21154,49544,193
474,48088,89895,112
475,89034,62324,276
476,28523,63047,826
477,77702,22926,840
478,2487,89008,529
479,5533,66528,24
480,20054,46399,170
481,37688,68285,131
482,13296,81834,431
483,52839,9371,887
484,90334,94127,484
485,41943,33047,638
486,52105,47819,937
487,35189,74975,458
488,52578,99657,153
489,78554,75742,593
490,68183,32741,486
491,28497,65148,695
492,41641,69451,229
493,91278,26959,258
494,92610,56255,636
495,58696,15341,813
496,59410,8621,598
497,39617,77838,194
498,20403,38769,936
499,21788,18850,608
500,14413,27201,860
501,49151,96047,121
502,99216,98395,576
503,82103,64099,177
504,85271,40756,407
505,18391,17929,911
506,3642,37915,855
507,6980,28458,339
508,65652,63854,724
509,29592,73030,89
510,60460,8453,140
511,99895,79695,934
512,97391,24580,597
513,57086,661,68
514,91568,68150,862
515,38529,46205,623
516,84816,88370,521
517,55205,6345,400
518,19048,22652,376
519,86579,37666,857
520,78269,89365,495
521,77753,85817,564
522,73574,91854,761
523,91602,20873,982
524,17182,3499,318
525,48688,48887,42
526,40058,29579,139
527,75059,5280,449
528,39379,26838,885
529,34135,12333,451
530,9854,98213,870
531,88409,76714,320
532,13615,98957,478
533,72755,59121,91
534,67227,19012,688
535,18841,30066,769
536,27997,36178,670
537,83649,62709,834
538,3850,14007,605
539,76221,92171,105
540,27290,45518,944
541,44678,73886,700
542,32442,70587,366
543,47436,61992,31
544,41863,40612,639
545,26137,2346,630
546,3321,4992,530
547,2894,90704,299
548,44210,62286,353
549,39627,52191,420
550,74724,17246,950
551,30468,79637,708
552,28650,28715,201
553,86186,71328,121
554,49577,60711,366
555,91283,61470,919
556,59237,13704,737
557,57500,83236,139
558,69182,86068,956
559,36620,73176,124
560,90279,7321,759
561,32151,54154,903
562,69775,75957,984
563,29504,1572,8
564,22024,15094,680
565,97836,60765,806
566,20070,88858,917
567,75695,60723,791
568,77382,67206,123
569,98487,34980,977
570,88222,81879,716
571,73875,15571,247
572,64803,83994,844
573,85629,65976,413
574,45257,7651,754
575,2608,65711,628
576,77702,14203,334
577,52217,90836,13
578,55589,39643,445
579,46511,47233,670
580,35353,67376,692
581,83054,34176,998
582,9500,93136,126
583,70703,33932,51
584,16292,75439,44
585,7179,3461,313
586,64862,61882,443
587,27349,41124,361
588,82384,56105,555
589,74807,54869,517
590,7642,66392,924
591,83425,42098,328
592,82439,54038,604
593,55717,89493,776
594,82689,71147,695
595,72105,35199,100
596,77942,77316,326
597,55330,83312,107
598,92568,95801,833
599,62809,91179,895
600,3105,90931,328
601,85566,63482,425
602,83082,56250,366
603,74759,79688,322
604,67617,10397,436
605,70398,79772,810
606,22794,83301,842
607,60745,90987,43
608,52846,27050,807
609,54607,94399,993
610,29278,57660,731
611,34937,6404,742
612,83927,12873,508
613,64604,86354,593
614,37529,41980,65
615,32478,12734,396
616,54761,99934,249
617,17128,85590,841
618,88097,93844,69
619,59439,37357,609
620,86626,46459,332
621,48107,369,258
622,31538,9067,447
623,35116,76208,296
624,81528,10661,368
625,80331,54908,873
626,27810,76769,217
627,71356,11620,966
628,57553,54939,504
629,64057,16567,159
630,31604,68840,379
631,60013,95704,221
632,98016,4972,819
633,7237,49888,442
634,68692,85751,582
635,24088,11444,883
636,43653,43667,430
637,49923,98125,100
638,39091,27836,953
639,41969,95969,413
640,38335,59072,268
641,52025,51965,155
642,78286,64929,7
643,65202,66676,950
644,45848,41294,186
645,88507,10149,827
646,40232,41144,265
647,75867,65862,786
648,42750,45573,90
649,64892,25339,19
650,70304,76419,937
651,323,93522,381
652,81854,87108,96
653,10911,16099,761
654,26943,74223,455
655,84908,13143,887
656,94757,22884,950
657,8031,9996,818
658,22182,33141,123
659,56543,14,141
660,56398,22584,865
661,46210,40547,912
662,35001,66074,223
663,57516,82147,654
664,96450,78228,652
665,78176,98048,605
666,61203,90552,424
667,52671,18583,973
668,40177,80837,1000
669,18490,74880,939
670,64794,65628,512
671,22549,13826,814
672,96303,74213,65
673,79635,24789,188
674,43342,76055,420
675,88355,86222,449
676,9043,51755,494
677,52233,19453,449
678,31488,14631,386
679,27601,63902,180
680,62581,57643,2
681,17399,71635,133
682,46697,15545,829
683,3586,80790,506
684,47047,51841,566
685,19018,96231,418
686,81074,43817,21
687,76656,49664,638
688,79018,92579,308
689,47230,43844,537
690,72923,42974,574
691,30301,76230,225
692,98894,3469,566
693,44565,55415,423
694,14414,72975,260
695,74329,85242,623
696,35848,93301,607
697,50094,18831,465
698,79168,43291,575
699,16657,6488,115
700,20405,6017,613
701,66215,59505,933
702,99303,70923,358
703,41969,3655,300
704,59968,5683,652
705,91561,14059,54
706,49079,21120,290
707,81844,1298,620
708,30491,97826,991
709,56690,42503,915
710,93751,86191,107
711,34940,263,872
712,19680,68882,867
713,59350,85467,122
714,90464,45835,469
715,61956,81527,987
716,81058,70055,782
717,67560,612,262
718,2158,5392,554
719,64703,16544,353
720,35072,95376,201
721,73243,98731,582
722,36216,51718,626
723,27511,80954,974
724,64341,44191,262
725,1376,81296,260
726,82756,41659,52
727,2852,6893,756
728,30949,24242,381
729,14190,84221,917
730,41569,20114,375
731,5416,28818,554
732,67319,71083,446
733,30580,69865,353
734,77599,21016,471
735,20466,32504,250
736,66722,35968,726
737,37816,19866,551
738,55350,69908,534
739,30622,82195,629
740,72623,72687,306
741,3215,65993,334
742,41882,92132,781
743,48149,29210,810
744,91999,60422,980
745,81563,28769,182
746,97262,46447,259
747,63069,47053,793
748,73760,7091,803
749,95392,58107,955
750,95572,57824,765
751,52155,80352,487
752,6449,76877,888
753,35322,74828,509
754,88726,11726,975
755,378,25497,830
756,36902,21252,897
757,83760,8807,333
758,32788,10348,904
759,30004,21239,885
760,83717,97622,299
761,33326,94804,73
762,16303,84902,550
763,91498,90408,378
764,22192,66603,524
765,32677,79662,803
766,64286,54219,75
767,72804,2835,694
768,21497,86762,79
769,39042,42484,18
770,91760,86144,490
771,30207,13266,598
772,8443,19151,571
773,41049,34349,550
774,13244,71557,547
775,272,65080,141
776,62298,66162,681
777,77890,8041,19
778,25840,36442,511
779,57670,83935,699
780,52787,19373,650
781,45151,1632,857
782,77254,47288,756
783,52089,94830,918
784,80864,76910,94
785,74641,53111,135
786,56777,88948,425
787,45855,40693,442
788,97078,73905,69
789,4236,32890,344
790,39494,33807,828
791,74011,26042,172
792,77574,3667,388
793,96214,4973,265
794,9023,67875,466
795,31596,43487,41
796,81461,29651,314
797,81782,25009,118
798,81959,91105,497
799,60478,26955,694
800,91468,45471,493
801,20250,21316,722
802,81230,1833,385
803,90067,91592,936
804,57958,10597,974
805,4036,14506,631
806,86956,65148,977
807,65337,61412,145
808,23652,34308,295
809,93500,25423,950
810,48856,96343,375
811,96793,89287,117
812,72030,73616,934
813,56443,36046,990
814,74629,67947,509
815,84264,2512,524
816,82342,70076,629
817,56338,55558,472
818,46036,76299,848
819,12557,88196,959
820,59740,28022,346
821,88665,18014,453
822,17526,63361,714
823,69140,69159,871
824,10815,2059,314
825,29992,26204,80
826,70234,43157,668
827,71342,44654,995
828,40537,93473,792
829,17834,26400,671
830,42688,58563,364
831,75909,71568,61
832,47960,93257,798
833,40270,71809,673
834,29040,54985,233
835,64383,58171,878
836,43932,49453,228
837,91894,75197,244
838,67847,97955,898
839,39096,80632,698
840,47584,75955,206
841,1996,20982,358
842,76343,52139,745
843,75780,84120,467
844,46466,18103,98
845,78235,36134,313
846,3473,49926,934
847,79461,43071,850
848,33469,72426,529
849,41277,40830,711
850,10316,75743,321
851,66225,52869,439
852,2899,14170,894
853,86259,88131,185
854,85006,38173,251
855,64337,7029,853
856,30458,6196,161
857,77085,88394,458
858,66503,18778,47
859,64708,35931,882
860,46753,67451,66
861,755,51677,562
862,54346,42896,517
863,7963,46250,20
864,61384,3778,632
865,32927,32677,827
866,27939,36141,304
867,98742,74642,249
868,16195,47622,480
869,35405,71044,532
870,36010,45550,112
871,84481,87825,960
872,92121,83162,790
873,12583,63804,537
874,29374,47347,279
875,57426,28494,469
876,24523,48815,84
877,22428,44546,970
878,37886,44106,861
879,90978,30659,775
880,32051,16611,317
881,76871,51715,889
882,47040,99953,261
883,1618,87828,788
884,68567,33347,914
885,13715,19680,141
886,57211,95240,488
887,94584,3630,274
888,8752,97027,484
889,93687,24999,582
890,85815,69544,919
891,57091,49480,792
892,44690,74460,96
893,87181,3234,977
894,23838,58307,977
895,9514,16293,985
896,60754,31315,634
897,46260,35180,328
898,15979,81947,924
899,9927,50621,555
900,67626,46931,761
901,71618,21040,918
902,47349,74858,236
903,89069,76000,668
904,15969,11988,792
905,5850,14453,529
906,38748,54434,210
907,99464,60629,54
908,991,75419,106
909,6427,75220,94
910,82546,46446,272
911,24919,44682,922
912,81675,84,329
913,27273,30367,206
914,12253,81759,430
915,76220,90137,869
916,80257,13355,538
917,45883,42641,271
918,5685,23062,191
919,57937,10574,325
920,88591,24323,689
921,53802,2664,492
922,70169,67736,75
923,23645,66637,190
924,46210,90540,611
925,35578,35510,535
926,22494,53784,434
927,83534,14413,937
928,16992,2787,577
929,72449,79627,379
930,6003,45594,888
931,70289,99201,365
932,36588,35133,522
933,9623,12761,48
934,59488,2791,266
935,86541,87705,525
936,99521,24557,471
937,82867,42760,212
938,71534,53903,153
939,78635,92817,943
940,96308,19136,296
941,72832,20591,946
942,86544,34314,461
943,39860,78505,486
944,7640,32835,485
945,4979,26934,93
946,11053,66439,848
947,34516,54183,639
948,77473,8155,961
949,64544,4191,319
950,86753,98759,875
951,70612,55757,832
952,33613,48223,304
953,80861,94864,633
954,66915,9687,683
955,38195,24518,141
956,67834,34432,184
957,89460,79118,453
958,54280,84343,574
959,92303,20214,725
960,48965,68556,657
961,66502,27331,871
962,92433,76322,14
963,64348,41235,100
964,91313,84877,80
965,64539,79160,778
966,52714,98488,40
967,57639,96709,919
968,55826,97772,323
969,63439,26325,517
970,93639,41527,181
971,77488,78115,449
972,52505,18404,82
973,98770,19693,38
974,76211,18059,643
975,40359,10114,440
976,66682,277,733
977,48390,4931,998
978,97401,8141,422
979,57567,89052,245
980,21965,50532,29
981,28117,44937,105
982,43243,74696,527
983,95011,61325,388
984,44127,2109,660
985,71959,90586,492
986,41818,37192,606
987,15042,4157,218
988,15370,9273,928
989,68665,21320,402
990,22814,76428,522
991,22198,21583,771
992,45704,47027,962
993,94027,94493,287
994,27301,68857,151
995,36281,43897,69
996,81903,76398,663
997,13566,5822,387
998,97678,20712,863
999,35870,68417,939
1000,80735,75942,184
1001,2909,16779,197
1002,84990,94302,69
1003,52356,32503,763
1004,98126,77308,934
1005,83044,70715,416
1006,77893,95824,50
1007,67060,93367,130
1008,41956,42984,989
1009,52602,49564,936
1010,79056,71333,612
1011,25952,5579,862
1012,23745,69678,549
1013,59273,70637,580
1014,90176,89442,614
1015,80764,96610,684
1016,60229,64591,614
1017,72608,65151,293
1018,77761,76980,935
1019,28922,41301,812
1020,78012,18951,721
1021,22165,55481,787
1022,7751,22168,601
1023,10514,48132,546
1024,20631,14550,603
1025,5971,67292,972
1026,1090,47927,795
1027,17808,10221,251
1028,74186,6826,496
1029,84504,18128,154
1030,63534,60003,888
1031,18074,43367,240
1032,92988,76023,266
1033,95460,65436,960
1034,33196,56222,197
1035,56962,62598,547
1036,57982,31274,626
1037,59683,82707,629
1038,77072,38001,427
1039,40034,50630,437
1040,25450,69522,507
1041,83027,76036,739
1042,6030,53739,428
1043,85530,90335,854
1044,92602,32795,694
1045,47833,666,281
1046,88644,1924,82
1047,85180,42296,548
1048,68642,33727,510
1049,91871,26699,608
1050,5027,40903,423
1051,96261,75665,585
1052,25074,49275,43
1053,46090,57222,390
1054,36447,91646,435
1055,1383,25853,201
1056,62732,80355,80
1057,20665,74473,809
1058,78232,82891,942
1059,46761,36985,805
1060,88479,52164,776
1061,47164,77766,274
1062,24895,12733,84
1063,73121,12634,717
1064,21405,14384,60
1065,34578,51849,216
1066,34286,56267,666
1067,23712,55405,845
1068,7243,810,118
1069,21999,29970,740
1070,63372,54241,102
1071,60834,37280,287
1072,19778,32209,18
1073,86625,14524,696
1074,90845,79469,888
1075,60330,56821,428
1076,50389,83273,219
1077,34252,54004,65
1078,93663,8962,566
1079,52668,57097,485
1080,1395,51588,42
1081,91236,55141,481
1082,26540,85770,587
1083,43044,66383,234
1084,38393,30685,39
1085,23977,49307,956
1086,35713,6966,273
1087,59872,54790,69
1088,56642,9086,896
1089,99208,50178,812
1090,50608,79843,490
1091,75624,96420,797
1092,94695,52967,487
1093,41054,22484,315
1094,89480,35989,728
1095,20349,1633,570
1096,70488,61449,549
1097,47437,37334,392
1098,8282,22791,13
1099,18029,58470,402
1100,40937,74256,647
1101,44577,9992,156
1102,52542,45012,307
1103,82293,8230,460
1104,20202,67929,150
1105,37944,57714,574
1106,27841,58287,239
1107,47466,77914,463
1108,45698,59368,54
1109,63343,55458,651
1110,57113,90550,512
1111,78863,24751,646
1112,57069,47347,706
1113,1868,10252,37
1114,59675,14124,99
1115,55409,11742,877
1116,73232,71711,165
1117,1252,39220,726
1118,6420,22673,301
1119,66378,34295,447
1120,9418,55974,964
1121,97696,78989,508
1122,46361,56807,84
1123,95748,91025,940
1124,47049,55321,768
1125,88268,10908,535
1126,35839,81019,170
1127,6847,19878,615
1128,98755,42673,774
1129,29450,28823,962
1130,18185,40581,454
1131,22704,32764,337
1132,10269,39554,182
1133,70969,88782,637
1134,58470,90747,7
1135,92424,64184,541
1136,80907,84242,334
1137,17435,21742,432
1138,54981,33042,117
1139,20588,21462,289
1140,25787,13835,921
1141,74962,37451,843
1142,12131,87572,175
1143,82858,38422,101
1144,54810,15697,7
1145,18752,34809,342
1146,79979,65167,637
1147,46227,59823,350
1148,83875,47715,634
1149,8563,65388,671
1150,17769,33744,344
1151,94176,4987,790
1152,51638,44913,23
1153,64352,27154,913
1154,25695,78979,576
1155,86468,76339,518
1156,32951,39741,821
1157,68845,34061,195
1158,36375,76995,401
1159,19747,46908,938
1160,6462,62361,894
1161,90659,13164,145
1162,78907,54256,727
1163,6031,65772,278
1164,37526,37520,570
1165,2896,35749,305
1166,16682,40540,987
1167,53712,78752,975
1168,87048,63007,944
1169,79487,84088,318
1170,30374,12573,271
1171,16818,76175,519
1172,48626,16518,925
1173,96934,86249,678
1174,63946,74325,691
1175,95172,319,924
1176,33844,26799,864
1177,81837,1037,40
1178,98996,32572,899
1179,1382,22687,253
1180,59307,68996,550
1181,53280,43254,121
1182,94054,94093,522
1183,45052,28249,890
1184,36957,28677,634
1185,80546,31446,409
1186,58946,31321,246
1187,83351,5052,796
1188,47754,5647,916
1189,39484,15352,536
1190,48609,61933,916
1191,23305,49499,544
1192,19493,97324,782
1193,83234,85257,276
1194,95158,42380,523
1195,97543,4542,846
1196,38127,73979,814
1197,86831,34524,877
1198,80399,98003,702
1199,60524,41805,591
1200,12858,99797,123
1201,75508,61389,131
1202,35114,14760,388
1203,21051,74366,33
1204,70842,23890,619
1205,38412,63449,608
1206,17104,86110,127
1207,62608,39768,855
1208,37403,61068,57
1209,87762,11146,880
1210,18126,58129,290
1211,91505,75367,972
1212,61283,93516,930
1213,92699,98821,176
1214,52297,77856,469
1215,20050,47649,379
1216,28713,8031,296
1217,96753,6260,423
1218,9232,58890,785
1219,4737,57705,489
1220,81474,20547,131
1221,45212,46579,752
1222,78729,60062,7
1223,2463,61389,358
1224,23723,63058,286
1225,60691,79659,177
1226,38592,35223,619
1227,51669,17329,637
1228,35683,20346,746
1229,37234,95373,875
1230,92730,28989,430
1231,8199,54138,37
1232,38316,43990,325
1233,11456,92440,143
1234,82994,13244,344
1235,19670,60733,94
1236,14833,95891,690
1237,59310,60017,295
1238,17715,23034,222
1239,43238,66101,776
1240,714,54116,515
1241,16091,62323,502
1242,78896,23989,525
1243,11435,10894,297
1244,57497,15421,391
1245,48763,45375,963
1246,34063,47968,331
1247,72263,41460,230
1248,21442,26734,65
1249,12557,66222,131
1250,22533,78295,604
1251,783,43191,999
1252,79433,16595,177
1253,61196,93553,685
1254,24071,30542,833
1255,25501,58434,538
1256,55692,22382,924
1257,39038,28677,264
1258,84667,69107,241
1259,75908,7388,453
1260,80141,24817,884
1261,97699,14193,823
1262,60265,74666,97
1263,73000,61661,915
1264,44232,73744,792
1265,42078,80967,479
1266,17315,49081,332
1267,97256,59019,854
1268,4993,63194,146
1269,5771,65060,882
1270,73862,46122,434
1271,21727,64967,255
1272,4342,54655,223
1273,26747,29586,823
1274,80900,9736,8
1275,86149,82970,748
1276,79715,4673,57
1277,79026,41614,350
1278,83677,74629,947
1279,33571,69122,494
1280,31806,74738,530
1281,58486,59762,854
1282,33768,98752,930
1283,93577,35857,436
1284,48036,37225,745
1285,1439,70531,724
1286,99192,12162,741
1287,86096,82368,392
1288,48209,59209,13
1289,29906,28242,77
1290,40021,40942,136
1291,50617,37379,438
1292,76638,62904,496
1293,54061,34190,486
1294,93109,31734,535
1295,97091,23643,621
1296,97196,49615,890
1297,67219,17820,270
1298,50626,89862,870
1299,25088,67860,542
1300,60311,31978,56
1301,41246,69098,855
1302,75830,99673,623
1303,72476,93088,232
1304,10917,31197,229
1305,12243,11170,352
1306,80509,70007,931
1307,39910,7880,273
1308,99732,24770,529
1309,52320,74863,370
1310,12111,94572,94
1311,60177,32221,862
1312,14370,29457,18
1313,50426,23779,405
1314,6309,46566,996
1315,94,90850,779
1316,50493,5468,864
1317,28085,58008,170
1318,11392,81601,354
1319,59174,31755,243
1320,10533,75094,169
1321,21735,18725,791
1322,9535,77593,314
1323,48518,76282,255
1324,84739,78075,847
1325,51300,70283,341
1326,14899,28982,218
1327,11111,8281,190
1328,68434,51926,661
1329,32967,55753,883
1330,60542,96819,435
1331,24338,69099,961
1332,61480,56834,20
1333,89436,92863,502
1334,97626,66481,425
1335,95295,80214,196
1336,51982,53463,626
1337,84772,32921,439
1338,60892,6575,675
1339,19989,77354,267
1340,64866,83531,626
1341,99369,60385,821
1342,63329,10375,18
1343,55752,94347,386
1344,19634,9426,809
1345,74227,83150,675
1346,96244,1012,619
1347,5466,94045,86
1348,74827,74681,457
1349,51245,81786,430
1350,57580,64507,688
1351,12001,67427,925
1352,54395,96042,101
1353,17990,91013,461
1354,87712,45487,665
1355,75147,94748,224
1356,47811,19268,296
1357,6200,62998,825
1358,60605,93034,373
1359,9581,13273,754
1360,59639,67833,400
1361,40366,70056,72
1362,46912,16821,391
1363,32137,47472,737
