um_id,m_id,interpretacija
191,29,ATLSBROUYGWGT
192,30,LHKROOLABGXBDOLZ
193,26,LTKPROMBAH
194,12,QTGNKWSZSIURRF
195,46,LNLQUWWITRSVIBFQOG
196,49,ZJIGVOKIBXZORWRWDQY
197,25,IOIIU
198,35,JBQRNSLYMZEPWTZ
199,6,PXGAIJJWTBJYZIO
200,38,KZIOA
201,42,CUKOKTAEIEVTGLDBHRB
202,25,CPUOCLSHBIULYGTRUVV
203,16,VMFGTJZJTSLA
204,45,UYIFUMUXGBPCOZXAMLK
205,27,BWHKYVLWLYONJPVEUUKD
206,23,QIUYT
207,41,SNEDNCINLGMINPM
208,42,KEEFWY
209,44,OHDUYMXNANAZTSFYIBJP
210,47,ARFVANJEEOMF
211,45,IVCXSTTLKKHM
212,23,YKWOJFWDT
213,43,JBRXUOGKFDP
214,4,GLLMBPMIHJ
215,15,HBWEDFJJG
216,34,IFAIAI
217,29,UBONVMPQ
218,20,ENABT
219,26,TATYAMOGPVGA
220,10,FYJVGDIATQGNOUAA
221,27,HUVTL
222,23,BKBSPISUVAHZIBNUBWND
223,30,DJTQFCVQATILGSI
224,30,RJRBQQVCJBNRLUZKTH
225,48,BQQNYPSUTG
226,39,SBZOSAUUOIODBGMVEZW
227,23,EEMAWELRYDFX
228,3,JPFRSHJ
229,19,GYJYHMPIURLIJIITN
230,39,KTWKLDVXJFDUU
231,20,DVHTOJ
232,29,DQOHYHLHZE
233,25,IILETZJFTYIZNIDIIXGC
234,50,AAKWXHEZEWGUCGITGZ
235,40,TWPUIWXDSBCANPHFMGH
236,15,XDQDODOMF
237,14,HQTFBGPVTWVGVMIKMRPJ
238,31,DAXEC
239,47,TOVYVVRSOMESHHAVNSYW
240,40,ZALVAM
241,45,WXDSP
242,29,TUMFPJSNYSGX
243,13,GUSWGESXJNK
244,14,YYJUCFPSINEBBAFBEKO
245,40,UMKDGJBV
246,47,KMDAERGUGAEAOZ
247,3,RMGAMTJHVVDG
248,19,ADFDAALDCFJR
249,38,AZNIOHXPLYQG
250,37,NVTOCFBCIGECUWOJ
251,31,EIZOFWANSZAB
252,24,UWQOQKOJFJLWXUTOLQ
253,28,OOYBSDWSZKT
254,41,WKTOKHOEVGLW
255,16,IIBLFNLKADFP
256,1,TIVTNRDJNNMDCD
257,31,AEPEYLOWWUZFBXPXTKL
258,36,IBKWECIJBES
259,3,TKOOIMZCIKEEVQGW
260,45,IWPSVEUPPZKZUZSO
261,6,QMUVVVJIYUPMQRWLHI
262,8,XTBNVVFELNIGCYAZRBF
263,5,KBSTTGPHSSYHR
264,41,HQCGOXO
265,12,ISABNHOTOQR
266,30,EIEMCFXCU
267,35,KKHZMTILGTCWI
268,28,GCYVZJONJGOJBNTL
269,40,OTHCCEZPVGSSNGLBWAPP
270,23,HPKMJIUPGQYNXZ
271,17,ZVZWXBXFBZ
272,18,ZNIXRJQOO
273,15,FWHJQBDXVVPFPL
274,28,UXBCKFCT
275,41,ZXXWFRQNGPFUFSTZ
276,32,AANYJAIKOAV
277,6,KLCKKSEOPTDZYIYVJW
278,47,ASLHHW
279,43,AOZSVNPXGFPCRQGAREZN
280,19,UUAXCONWUDDJ
281,5,DHGOBWVTJ
282,49,NEAQVJNKYYB
283,44,YVEZB
284,45,AOLXVCMQGWUZOMIZYSKI
285,41,SOWYJLDDWTWSJLEYTK
286,5,DOOSN
287,42,HAQDHGZT
288,10,VJYMZP
289,40,PTEJAEBCLLUF
290,44,FHCQBPQPNNAJJKUZPGB
291,17,IUDZYKB
292,23,MSQNOUZWEDKXVOWCFIVR
293,18,KHFXV
294,47,AWTPPVJYFVAKOJYWWN
295,47,YKMMENCXOYVLYUVQXPDA
296,47,WZZLP
297,39,EYPYIQDBPWXLAQLHXEDT
298,34,FUDTKG
299,5,MCDKODQ
300,4,BQDOUTHZGDLHOL
301,50,HBGQVHTNXL
302,48,ZBWUPUH
303,14,PWLFA
304,34,GHEGMCWPKDVJTBHCQJXY
305,21,KSKVUT
306,29,OZHCJJXRYOA
307,36,HZYCBJJOXO
308,39,WJITCM
309,17,PXYVUTVC
310,35,EDOGBRAOCKILL
311,47,NVREKTISRZPIQUDIHA
312,2,NMDIIEQ
313,28,ZFJML
314,29,BWUPN
315,42,VPSKSE
316,38,TEIFZD
317,35,EXXSRJMFUZTLGV
318,17,CCONJUSEZCMCFLNINNWU
319,34,DNJUES
320,16,WRYRNBVMDJCVMWVITOW
321,5,ODESOFEUL
322,43,VXRIGM
323,47,OISZIGWBFSQOYSLNK
324,4,KOKDNP
325,21,TPLWXWD
326,42,RSMIDHBBTAKXPMNMI
327,37,XLFUCV
328,8,ELIPLYFO
329,46,VZUTKADO
330,31,FQYYOSMWZPZJDOXSKKOW
331,23,SCQSNQXRYMVSL
332,41,GZWEZR
333,31,KQNKDUNMBADEAILOOTIN
334,47,TTFROXPJ
335,32,SQUKPHOJORG
336,31,HHUVBUYNK
337,27,IFBCLGNQVLHHG
338,34,JYTYQAKKMAGYWTRNPF
339,12,YLLRLWFE
340,38,BEQJWEMTROQTHWRGH
341,1,ECBLJAJHQNWWQWZGX
342,34,YOZVC
343,16,MPXPAGSDQBAEM
344,2,GAWDJMNXWOHGQRXDXUD
345,32,XLKSHASFXCEJZOVQ
346,43,ASTHFFQTXNJABOU
347,14,YFENHPCBGHTZXACTCYAM
348,47,ITWCCHMSITZBTAXN
349,45,XBXDJUAVYTYBX
350,49,KAHTOEVNIKLJWUE
351,19,MHVYFDB
352,44,BRTEKGES
353,25,LOPFHOEMWZL
354,5,UWDQXOHQILBSVMJJXIP
355,46,RXICXLIRJHXETEXURIN
356,7,EXEAKFMAXVKLHE
357,26,LDAJMPRP
358,28,NDISHJAKRRKKUWJVJSBF
359,38,UGGCT
360,49,INJDTZJDMQVXJ
361,13,SRSNIWIBHU
362,33,DUQHFZHCMDTBHOEDKX
363,7,UVRYRWORUAXUJAPT
364,2,PUMJAVHMDC
365,20,DMFRBDH
366,12,JXGGUTSHEFGH
367,37,BXKBGWPDEFAWJZEPTF
368,15,MDRGBBSFNSPWGQAIBGB
369,13,RBTBTVJHUBHM
370,26,AHQCCTBWK
371,22,PADTHQKPPLZFO
372,27,DTWKKUXCEFTEAVDXALF
373,16,PONUPTRXCDBIJBMFIW
374,14,PDCXQWOKTAHVYPPS
375,13,OVCIHAJRZXZIKSVM
376,35,GJCDJEDHYDRURORRGSNI
377,16,FOBRUSPQWAIZXW
378,35,HTVMVLGXZH
379,46,VIAZFSEM
380,37,FSGIN
381,8,GHYJEZETHLVRABXVA
382,5,JDEZPKVKZPKSPDXKZ
383,50,BUIDL
384,32,FFTSCUPAKESH
385,7,XMRSYON
386,27,XCOZZ
387,33,PWXLVNUIB
388,45,REJHV
389,26,WMMRVELKFOTRGR
390,42,YHEYHDFAACZPPQQRPKU
391,28,UGQOFVU
392,50,DOIOMEFMJDMBEH
393,23,SLGWZFAW
394,47,JCRWRYXEMEDTRSEYCN
395,18,PNQTYXMGFAMXLYLES
396,15,NBVKXMWCZQYUJENMSQ
397,49,LZAUBINWILQHNF
398,1,RHRVVRTTH
399,40,HIXWCHXXRUYCHMNYFMKY
400,47,RFSZUABN
401,37,TSIWG
402,25,KSGBZKQVSUPSWLRQSQG
403,22,KMKSLG
404,8,CCMIFFBKRCISHZZCERD
405,14,UJMDIFSAAOWKZJIVFIEK
406,4,MANOKTQRZWHVF
407,32,GCDXNLHERE
408,13,TLGYEDDMPTGKKHKYK
409,38,KPIXYWRRPOKZQTNMG
410,11,OLHTDCLRZIVK
411,3,JUVLIDGUWOY
412,47,YVEBLWOFQJTAKHKMZQ
413,44,IGIHSGWTHBUEIARHNFO
414,19,NFWFRUJJBWETQOQU
415,6,CMICFXOBIBZQARG
416,46,ZONTTFRKUERGWURV
417,5,HNJLSFNCSOFYHYQ
418,18,BOUEPSWBV
419,28,GSJWSLRLUDOFPLG
420,36,CCPICSBONYJV
421,38,AIZZBO
422,32,JPQHJWO
423,17,AVMZTBOKXOOWWHDLM
424,49,IYKBJ
425,6,PADAIZGWLHBSUJEPFROR
426,30,OOLXRGPYJUDM
427,12,TUUSMFJGSBTBYHSC
428,25,WZUTVCQVWWQEPCCIRDL
429,47,PNQXEOICUHBKMFFASZNT
430,29,DGWXNMVVASRCBRGHEG
431,49,HEUVPFZMBPDXZFZN
432,34,ATXAPXPKNSDRFCQX
433,34,AYSYUEA
434,11,BFCFDZFMLDCEEVBCRL
435,31,BJXDUCIQOSNJJ
436,42,TAGMAEJG
437,7,AFQQINWYGYVWUY
438,34,LLRTTGORGPLKQRY
439,42,ZBTTYLP
440,39,AUMCZSV
441,3,NTAIPKRZKZF
442,28,CQFUDLVGECNUR
443,49,GZGPRUSUAFFOBKXRW
444,4,CHVFXXMJU
445,9,KGUINUDQ
446,8,WFKYBIFBDANRYCVVIR
447,14,RGQTLNOHEDWPQHNWICBJ
448,40,LPHLZERXTOGHEKJKW
449,31,EWYSESRSEEEDSGSPZG
450,36,WDFOAKYWJCHEZC
451,38,DDNLEOPC
452,30,GWZXDGEHFSTS
453,6,KJPKCHOTXLLGDA
454,15,JTHESBLWNTQ
455,7,USOVBBLKGMHQQ
456,21,TDDDVPVUIZKLIQPWLXXC
457,9,XXOPBYGDYLOBCS
458,48,YWLWNDEDISMJQ
459,29,YKDCAFU
460,2,QEFUGBDLSUIQ
461,33,GJZYUXLP
462,44,LPPVBA
463,18,OUULGED
464,48,FKNPPKDVOPBMIURET
465,38,SQMOKZCXW
466,44,MILACZOSJAY
467,2,BFGEBQHOAOY
468,24,HVPGEHF
469,49,GBJNKKQPPMKHTFFHEZJ
470,7,MGHPHEHSWOMCBAVM
471,8,IRKQLEKNHXXWBS
472,14,EOLFPHN
473,23,VGRJSTYIMIOUULVH
474,41,BVHDD
475,8,FAYWVCOUVQLQGAU
476,43,PYMFZVTDGIJAKNHC
477,42,DGDACK
478,18,DZAWIWSQZKHRCN
479,24,EZWMDNTMBK
480,20,TYENUU
481,25,KRLLNOL
482,5,SXGJETNSI
483,26,ERQSTE
484,34,VUBRLWKKJTLIV
485,18,TRDXRWSP
486,27,OZZAVIMKEOONYYIZ
487,30,TRNPOQILVORJJUYZ
488,29,EKKPCVMI
489,48,SKFCWRY
490,8,NTFHKBWKTNKZ
491,24,HCKGEPYIKCFLBFEMJB
492,1,OJNVMLXGZTUME
493,27,JMKLUHRSF
494,18,XXRPAQNNMAWDXB
495,37,NNUJMHNYMNAYXUBS
496,27,SVKLOT
497,18,PECGCVFVQHKJPBK
498,2,WFCIUHGCPLDA
499,20,RBYJFO
500,5,KKHLYOLZQFPZOCEUBL
501,2,NIFPTAVUOEOJDQLSPCO
502,22,QPZZFM
503,27,DNOHD
504,45,IXDFRNKNXU
505,36,JBIECWOQIOQMQPQPY
506,1,WKCEXGRGMOF
507,4,AFPIQIMKGEVAEIBHQG
508,49,HRTWKDELPMYQHAEDXO
509,46,ZQQWEXSYSI
510,1,ULWELWCZAYZ
511,50,IOJRAWYJEMAC
512,20,MJASEXAAVLSYMXFCW
513,30,EUIDZQKTDRFGSWXBLVS
514,24,EBLJKKNFYPXNVLI
515,29,ZQMAPILRLSS
516,15,HXMRYJBVQ
517,34,QTROPLTRYTIQUOUYYOOT
518,39,EJZVWRZP
519,42,JUDYPZA
520,29,EHYFNNWQKOHJLGCCX
521,30,PKYDIHOP
522,16,XUIDOMKRG
523,13,MSXNO
524,39,XOPFBGWHQVFSCWMZ
525,43,HUCAHODDTVCNRTMAR
526,34,PNBWPUWNG
527,8,PPXXBJYUPPECNJEENRHB
528,25,WKJBSPXPUQCDHPNAW
529,36,OQHVRQA
530,33,ERCKMSBHEOZNHPTBBGVF
531,21,EHZPELRTVE
532,13,ZGLOTF
533,6,UHFVME
534,2,CJJKJFX
535,15,AMJMLBHGJPLKRHWWDBCM
536,49,OCOOTKPCUSTQHTBIYDSV
537,13,WKJSBJCCLPNS
538,28,YXBCXBO
539,24,OIHFBOU
540,49,ETLFRT
541,1,VZDHHQ
542,42,TBNMRIK
543,21,XFDZEPP
544,7,BIJDNOMTLOM
545,4,UEJHERIHJ
546,8,SXMTT
547,32,PRFNDOJ
548,43,WQBWHGCJWEKWTDATRPJ
549,27,MKSPJITJFBTMBERYOYPT
550,39,BYXMPDMLH
551,44,ICRVZOZDJLUDX
552,35,WRAIPAHWKGABLW
553,2,IIMKHRPEJIRKYCTYORUN
554,4,AYATEAOLT
555,3,WOPXCCHIMTQIFLBN
556,24,CZJDUFJAR
557,44,ABAOD
558,45,VDURTAAVXTFYLLYSXACA
559,38,LUKILRFPPMIXWTJOJZBE
560,30,NEAPQX
561,40,XLPZBYFNKMDSBXUG
562,14,PLQZCGAGVWVARKBTPORI
563,38,RYPAJQMKMTSTE
564,47,GIRSQGDLDZLTOHHQZ
565,20,OPWJDBDXY
566,11,UOMSXX
567,10,BTRGR
568,42,ENHQQ
569,25,RNIYBVYTLWZZXVTBYMWL
570,46,RCBJR
571,35,FZGDJV
572,50,FQSGRFSKFQMRSMQAG
573,46,RGCNRPL
574,23,QUVSSMENVVYLPMKRVR
575,37,RYQGIOVGOPLDERAPF
576,49,FDXCMCHHVDEVSUCD
577,44,QHUZMJQ
578,2,EEQMCMUISTBYO
579,50,GOQXPFCJMGCKNMAG
580,46,RXSMSQAXDLNCRTMEPYN
581,46,SEEVTE
582,35,PCAFIGYPFIIVZCQ
583,27,OGGVQCWDVRDKJHJGKR
584,15,VVLVPHXMAZOLHFXLSDIJ
585,3,MGZEXNGGEPMRRDOKT
586,28,SLHREXHPATC
587,3,HQAYMMKLEGPJMJDPJJK
588,8,EMUUS
589,40,EASRLIVU
590,42,RLLBFVPDRZMJXNXZLPC
591,3,BDXTZCBMFYGOPESOA
592,36,MXHXWXIKMXH
593,48,NDMYIXABIHUBZY
594,30,WDELDUEQHXH
595,41,UDPDWNZSWXHEMBDKHP
596,47,TJFBALPWCFNQTWJ
597,2,RTHZRALFWZPPDWXIBVVL
598,21,RQJTEWZVLFTLYA
599,5,OSWUMHPROOZU
600,42,TZFGSKYNMF
601,42,DQJKEDSUNBYDSNU
602,11,QGQYJACEWMLURJSQIL
603,39,UGUJXK
604,25,XTFRBESPUICUT
605,19,HJILOXII
606,11,QNJTOVISGYEOPHUTSJF
607,19,NEGZVHWIBLBMAO
608,17,GGLLIREU
609,37,CHXCLHQUKS
610,45,ROQUXSQ
611,48,AEZGWNMOPVEHZFPVXJJH
612,2,GHJRSYVGKL
613,24,AIKDCPKMZCS
614,10,GKUMUCNIAUZP
615,3,YZBUCCCE
616,25,WUSNUPZQWPOWZXD
617,35,ZFSNPVUGNENSBS
618,43,OPYUYXFGMVB
619,41,GPRZRETOHMYABCDCFUKO
620,42,DCYVEXPBIVUX
621,4,NSBQJSODOR
622,30,YJSCKFBHCJQPPNCFZCTN
623,36,PLRZFL
624,46,PGYFOAEVGUALOFYEM
625,2,CVCVFCEXVGYHDLGQJN
626,16,YODKVUPBRXRLCKI
627,30,YRZCMCLOPQFQEPLWTXM
628,21,YRBNFNWDH
629,25,NRCBUFRGCOH
630,50,ZJXJGBEPHD
631,10,KBCIWWCJXZFJJ
632,49,RODWWBVGFKFTVFMF
633,5,DUGVUANU
634,29,ANBEBOCQHHO
635,42,TMNNCDHVQVAJPCRJIH
636,22,TTKJGORQWEYPDUN
637,18,NWFSV
638,25,CLQQCSEC
639,45,SGQKPEQKWTZVB
640,5,YPRQULCEWTAQXEJCU
641,32,BLXATZFDGVRLWON
642,23,YCTRIBAQFDBZFSGKDBHK
643,22,LAIWJOC
644,5,FTUEXZEWQBVNCLXR
645,25,TYUITKXSGFRMEMJXN
646,22,FEZQJE
647,17,NOOVTINYVFPLN
648,9,LFKNVIYHIXOTEQKLY
649,29,TRJSNNJSAEZGWFMIDCYY
650,14,JKJFWFNL
651,17,XQJBEDRHPILGTHS
652,34,WQKSNLJT
653,34,LMOBW
654,41,GNQSJKXJHHMT
655,20,EJBODCWT
656,14,HVYZGFAAOJRNGFCILNR
657,25,BOFJV
658,48,YRWOAANTSJSZSXFQECL
659,44,AROUGNDIZIOWCWIVBLY
660,46,ATJUFFAUXCKIGHF
661,11,LLNOHECN
662,41,UZTWTRMJMREYKTNUUEIM
663,27,KGFEJATFAHGQDIY
664,29,UUBYWGEKAYW
665,6,MIMCYJ
666,41,AROFJLVKZPXJ
667,35,OLIIRVISZYLKDTO
668,32,JUOOXYY
669,2,OQCQVEDRVRSXLWVDDMUI
670,26,MXJIFKTBWMRBRWHOCSA
671,45,KCIUUTBSRDBSPWHHVOG
672,11,TZSUEEU
673,49,CTMEGEGFUPSKPPCKNXQ
674,14,YLHUCARLM
675,4,EPNDJIRPXHAUOQHHV
676,18,SRLJOPLEUSHZCXS
677,15,BPEWSDWJKNUZLUG
678,12,SKYPAUMMDUVEAAXM
679,14,LEUTQUKSYZXBHDWIXBO
680,5,SGXRUYRXBBSUKPMZBZM
681,30,ITEEUEMDSCXF
682,8,ANHQSIJZCJLMKAGN
683,32,DPGGSOPQ
684,5,ZIUILZWDSUXHMXF
685,25,NMNKVMSFAWOPZCUWSS
686,21,QGWYXVWLRZSOI
687,39,AUTSQUBAWUBHDHAP
688,49,TEBTTDFEKEFW
689,24,RGAUSNQXZJAEE
690,29,SZVQFWKMZTYPKVGMH
691,39,LFDPYOCUJJMAVLFXNPEP
692,20,GNJYXMQLGVODYHTMWZY
693,47,QORCHQENTG
694,31,VAPQYJ
695,19,DFRPLQ
696,46,QAZSDHVYIQKCPWP
697,46,PDZSVIFAZR
698,25,UBAZAPQAIZGQKHZVRVQ
699,20,TLMBELA
700,26,HQLQWUGYHKICIRFTJS
701,9,ZFZPZXYOFCFLIGWNHTF
702,38,LPDRFD
703,10,DDENERTXHVGPL
704,8,YVODYOSTLARIH
705,26,LJMYJ
706,48,FGLJVM
707,11,LDSJUJWNLXNZ
708,28,LLCZQEOB
709,19,MVYJNBLIFSICT
710,31,LCQDEYADOJAUBJUNSHK
711,44,TPHAPSSJRKGWXBKO
712,13,RUUOWLR
713,42,OJLZELNALGOUVSIAXVSQ
714,42,RFRURUUR
715,33,AZIFFLAKWIWLSRVDF
716,7,RPKCEDUNISQZQVZAAGS
717,16,EAXDUPYTYWFC
718,5,UCWRNXIGFMEWQC
719,26,EQGYBRFSKZERQPVAJL
720,20,XGXHLOAHFPOOII
721,33,FZIBSKRXUPOFQO
722,2,NBMPJXZZYGEUX
723,30,DDWZFMMCXXVFVGKTHZ
724,49,YFSOHMYSHHA
725,38,IGOIMUUAYRIO
726,35,YYMYVZKGRZGLCJXDJFQ
727,12,GUSQMZ
728,26,KCOXBRDSNIHNJLMC
729,6,BSPZJGTFYKRMN
730,9,YTESVKIDPZFZRWKTCEE
731,44,CNVUMCVAPAOPWPRCGO
732,23,CTCCFBWKFNAHQUCIVF
733,25,CQRSBGTWIBQBYWT
734,49,OQYYXHSABSRSRXCDBQG
735,29,DNEYNGCLZPZTZTPGLH
736,46,BSMZHJTHHP
737,37,DOYSBTTMJYHRCWPNAPZ
738,12,KSMUGR
739,37,QLRRCNWFOBXYBUKCTO
740,25,MXVBSDCWDRCTGHFDWOZ
741,27,UXGTQBMFCNZIETQPJR
742,35,NLXOQUG
743,8,LJQEQLPNUJT
744,20,WWLUNOA
745,30,CXDYUUPBQMUTMQQJN
746,24,MEKXTNAB
747,31,GSGJH
748,48,ZAKQDQVEKTBWMW
749,49,ENWEKP
750,8,XGGANUSSWQQYVM
751,8,UUNWKYDURCCLDJXURDHV
752,48,KWEEXKORJJZOZSVZXA
753,46,QRLWMQ
754,40,WPTXSZ
755,6,PMEKPCLOZIH
756,35,KTPHTCG
757,32,GUVYKVGEWZDSFXBQMAG
758,7,VSSWNYTXVLASEAG
759,36,XSHNQLALOK
760,36,GDBQBFKBUNIJOMTVN
761,46,RXQRBROGKXSFVPQJG
762,47,QNYXMCFWDAYFCVKPIQ
763,26,ATYPPNJOPIVVNY
764,4,WVBPF
765,22,WGUICCPCNUGKAEK
766,26,PAAYRDFEG
767,25,IDMQRVJUECYHJXNPFTB
768,45,IUUQOHGWHAXLMYTLYIVQ
769,23,DJJGFGD
770,49,VQYFMIJP
771,46,PYCPMHZJQBRSMAVWG
772,1,UQUETENGBOQSLBZN
773,37,RDRAZNOTFNVB
774,35,CCBISWW
775,17,OZIVEHCPITGHH
776,23,HSLUGXLULZK
777,23,WZITNXFI
778,23,MBECADEUZETYBNLTDS
779,1,PFMVXNVKWXZHGVNUYVDM
780,21,JWKXOIWXI
781,45,PYAECMDWNSWTYOQUNE
782,37,OJFVZGAHQAJB
783,18,VHSHDIS
784,40,IWHBLTOTSR
785,7,YYZIRORUJ
786,26,DUBZDVFWCQPHPLDHOWR
787,20,APQVGBMKL
788,45,HHYYOEORTFFTT
789,28,MWNQLNOO
790,45,BFDGCGSVBTHYTQH
791,33,LQMBNJRZSO
792,8,QEFAY
793,26,GXWAQBZHQ
794,20,SRBDROMZBMI
795,26,QEZPP
796,44,GAPSYKJBWAQ
797,37,GBEDSZPE
798,26,PSILXJNOAJSREUJLM
799,42,QUVMEBXOAKNFGVFXRLN
800,1,IKRYSSHQNMUHSSIDZZJK
801,24,SJIWF
802,6,IRAYN
803,26,CZNVVYFR
804,6,NLGTDQQNMN
