_id;um_id;m_id;interpretacija
205;205;27;BWHKYVLWLYONJPVEUUKD
206;206;23;QIUYT
207;207;41;SNEDNCINLGMINPM
208;208;42;KEEFWY
209;209;44;OHDUYMXNANAZTSFYIBJP
210;210;47;ARFVANJEEOMF
211;211;45;IVCXSTTLKKHM
212;212;23;YKWOJFWDT
213;213;43;JBRXUOGKFDP
214;214;4;GLLMBPMIHJ
215;215;15;HBWEDFJJG
216;216;34;IFAIAI
217;217;29;UBONVMPQ
218;218;20;ENABT
219;219;26;TATYAMOGPVGA
220;220;10;FYJVGDIATQGNOUAA
221;221;27;HUVTL
222;222;23;BKBSPISUVAHZIBNUBWND
223;223;30;DJTQFCVQATILGSI
224;224;30;RJRBQQVCJBNRLUZKTH
225;225;48;BQQNYPSUTG
226;226;39;SBZOSAUUOIODBGMVEZW
227;227;23;EEMAWELRYDFX
228;228;3;JPFRSHJ
229;229;19;GYJYHMPIURLIJIITN
230;230;39;KTWKLDVXJFDUU
231;231;20;DVHTOJ
232;232;29;DQOHYHLHZE
233;233;25;IILETZJFTYIZNIDIIXGC
234;234;50;AAKWXHEZEWGUCGITGZ
235;235;40;TWPUIWXDSBCANPHFMGH
236;236;15;XDQDODOMF
237;237;14;HQTFBGPVTWVGVMIKMRPJ
238;238;31;DAXEC
239;239;47;TOVYVVRSOMESHHAVNSYW
240;240;40;ZALVAM
241;241;45;WXDSP
242;242;29;TUMFPJSNYSGX
243;243;13;GUSWGESXJNK
244;244;14;YYJUCFPSINEBBAFBEKO
245;245;40;UMKDGJBV
246;246;47;KMDAERGUGAEAOZ
247;247;3;RMGAMTJHVVDG
248;248;19;ADFDAALDCFJR
249;249;38;AZNIOHXPLYQG
250;250;37;NVTOCFBCIGECUWOJ
251;251;31;EIZOFWANSZAB
252;252;24;UWQOQKOJFJLWXUTOLQ
253;253;28;OOYBSDWSZKT
254;254;41;WKTOKHOEVGLW
255;255;16;IIBLFNLKADFP
256;256;1;TIVTNRDJNNMDCD
257;257;31;AEPEYLOWWUZFBXPXTKL
258;258;36;IBKWECIJBES
259;259;3;TKOOIMZCIKEEVQGW
260;260;45;IWPSVEUPPZKZUZSO
261;261;6;QMUVVVJIYUPMQRWLHI
262;262;8;XTBNVVFELNIGCYAZRBF
263;263;5;KBSTTGPHSSYHR
264;264;41;HQCGOXO
265;265;12;ISABNHOTOQR
266;266;30;EIEMCFXCU
267;267;35;KKHZMTILGTCWI
268;268;28;GCYVZJONJGOJBNTL
269;269;40;OTHCCEZPVGSSNGLBWAPP
270;270;23;HPKMJIUPGQYNXZ
271;271;17;ZVZWXBXFBZ
272;272;18;ZNIXRJQOO
273;273;15;FWHJQBDXVVPFPL
274;274;28;UXBCKFCT
275;275;41;ZXXWFRQNGPFUFSTZ
276;276;32;AANYJAIKOAV
277;277;6;KLCKKSEOPTDZYIYVJW
278;278;47;ASLHHW
279;279;43;AOZSVNPXGFPCRQGAREZN
280;280;19;UUAXCONWUDDJ
281;281;5;DHGOBWVTJ
282;282;49;NEAQVJNKYYB
283;283;44;YVEZB
284;284;45;AOLXVCMQGWUZOMIZYSKI
285;285;41;SOWYJLDDWTWSJLEYTK
286;286;5;DOOSN
287;287;42;HAQDHGZT
288;288;10;VJYMZP
289;289;40;PTEJAEBCLLUF
290;290;44;FHCQBPQPNNAJJKUZPGB
291;291;17;IUDZYKB
292;292;23;MSQNOUZWEDKXVOWCFIVR
293;293;18;KHFXV
294;294;47;AWTPPVJYFVAKOJYWWN
295;295;47;YKMMENCXOYVLYUVQXPDA
296;296;47;WZZLP
297;297;39;EYPYIQDBPWXLAQLHXEDT
298;298;34;FUDTKG
299;299;5;MCDKODQ
300;300;4;BQDOUTHZGDLHOL
301;301;50;HBGQVHTNXL
302;302;48;ZBWUPUH
303;303;14;PWLFA
304;304;34;GHEGMCWPKDVJTBHCQJXY
305;305;21;KSKVUT
306;306;29;OZHCJJXRYOA
307;307;36;HZYCBJJOXO
308;308;39;WJITCM
309;309;17;PXYVUTVC
310;310;35;EDOGBRAOCKILL
311;311;47;NVREKTISRZPIQUDIHA
312;312;2;NMDIIEQ
313;313;28;ZFJML
314;314;29;BWUPN
315;315;42;VPSKSE
316;316;38;TEIFZD
317;317;35;EXXSRJMFUZTLGV
318;318;17;CCONJUSEZCMCFLNINNWU
319;319;34;DNJUES
320;320;16;WRYRNBVMDJCVMWVITOW
321;321;5;ODESOFEUL
322;322;43;VXRIGM
323;323;47;OISZIGWBFSQOYSLNK
324;324;4;KOKDNP
325;325;21;TPLWXWD
326;326;42;RSMIDHBBTAKXPMNMI
327;327;37;XLFUCV
328;328;8;ELIPLYFO
329;329;46;VZUTKADO
330;330;31;FQYYOSMWZPZJDOXSKKOW
331;331;23;SCQSNQXRYMVSL
332;332;41;GZWEZR
333;333;31;KQNKDUNMBADEAILOOTIN
334;334;47;TTFROXPJ
335;335;32;SQUKPHOJORG
336;336;31;HHUVBUYNK
337;337;27;IFBCLGNQVLHHG
338;338;34;JYTYQAKKMAGYWTRNPF
339;339;12;YLLRLWFE
340;340;38;BEQJWEMTROQTHWRGH
341;341;1;ECBLJAJHQNWWQWZGX
342;342;34;YOZVC
343;343;16;MPXPAGSDQBAEM
344;344;2;GAWDJMNXWOHGQRXDXUD
345;345;32;XLKSHASFXCEJZOVQ
346;346;43;ASTHFFQTXNJABOU
347;347;14;YFENHPCBGHTZXACTCYAM
348;348;47;ITWCCHMSITZBTAXN
349;349;45;XBXDJUAVYTYBX
350;350;49;KAHTOEVNIKLJWUE
351;351;19;MHVYFDB
352;352;44;BRTEKGES
353;353;25;LOPFHOEMWZL
354;354;5;UWDQXOHQILBSVMJJXIP
355;355;46;RXICXLIRJHXETEXURIN
356;356;7;EXEAKFMAXVKLHE
357;357;26;LDAJMPRP
358;358;28;NDISHJAKRRKKUWJVJSBF
359;359;38;UGGCT
360;360;49;INJDTZJDMQVXJ
361;361;13;SRSNIWIBHU
362;362;33;DUQHFZHCMDTBHOEDKX
363;363;7;UVRYRWORUAXUJAPT
364;364;2;PUMJAVHMDC
365;365;20;DMFRBDH
366;366;12;JXGGUTSHEFGH
367;367;37;BXKBGWPDEFAWJZEPTF
368;368;15;MDRGBBSFNSPWGQAIBGB
369;369;13;RBTBTVJHUBHM
370;370;26;AHQCCTBWK
371;371;22;PADTHQKPPLZFO
372;372;27;DTWKKUXCEFTEAVDXALF
373;373;16;PONUPTRXCDBIJBMFIW
374;374;14;PDCXQWOKTAHVYPPS
375;375;13;OVCIHAJRZXZIKSVM
376;376;35;GJCDJEDHYDRURORRGSNI
377;377;16;FOBRUSPQWAIZXW
378;378;35;HTVMVLGXZH
379;379;46;VIAZFSEM
380;380;37;FSGIN
381;381;8;GHYJEZETHLVRABXVA
382;382;5;JDEZPKVKZPKSPDXKZ
383;383;50;BUIDL
384;384;32;FFTSCUPAKESH
385;385;7;XMRSYON
386;386;27;XCOZZ
387;387;33;PWXLVNUIB
388;388;45;REJHV
389;389;26;WMMRVELKFOTRGR
390;390;42;YHEYHDFAACZPPQQRPKU
391;391;28;UGQOFVU
392;392;50;DOIOMEFMJDMBEH
393;393;23;SLGWZFAW
394;394;47;JCRWRYXEMEDTRSEYCN
395;395;18;PNQTYXMGFAMXLYLES
396;396;15;NBVKXMWCZQYUJENMSQ
397;397;49;LZAUBINWILQHNF
398;398;1;RHRVVRTTH
399;399;40;HIXWCHXXRUYCHMNYFMKY
400;400;47;RFSZUABN
401;401;37;TSIWG
402;402;25;KSGBZKQVSUPSWLRQSQG
403;403;22;KMKSLG
404;404;8;CCMIFFBKRCISHZZCERD
405;405;14;UJMDIFSAAOWKZJIVFIEK
406;406;4;MANOKTQRZWHVF
407;407;32;GCDXNLHERE
408;408;13;TLGYEDDMPTGKKHKYK
409;409;38;KPIXYWRRPOKZQTNMG
410;410;11;OLHTDCLRZIVK
411;411;3;JUVLIDGUWOY
412;412;47;YVEBLWOFQJTAKHKMZQ
413;413;44;IGIHSGWTHBUEIARHNFO
414;414;19;NFWFRUJJBWETQOQU
415;415;6;CMICFXOBIBZQARG
416;416;46;ZONTTFRKUERGWURV
417;417;5;HNJLSFNCSOFYHYQ
418;418;18;BOUEPSWBV
419;419;28;GSJWSLRLUDOFPLG
420;420;36;CCPICSBONYJV
421;421;38;AIZZBO
422;422;32;JPQHJWO
423;423;17;AVMZTBOKXOOWWHDLM
424;424;49;IYKBJ
425;425;6;PADAIZGWLHBSUJEPFROR
426;426;30;OOLXRGPYJUDM
427;427;12;TUUSMFJGSBTBYHSC
428;428;25;WZUTVCQVWWQEPCCIRDL
429;429;47;PNQXEOICUHBKMFFASZNT
430;430;29;DGWXNMVVASRCBRGHEG
431;431;49;HEUVPFZMBPDXZFZN
432;432;34;ATXAPXPKNSDRFCQX
433;433;34;AYSYUEA
434;434;11;BFCFDZFMLDCEEVBCRL
435;435;31;BJXDUCIQOSNJJ
436;436;42;TAGMAEJG
437;437;7;AFQQINWYGYVWUY
438;438;34;LLRTTGORGPLKQRY
439;439;42;ZBTTYLP
440;440;39;AUMCZSV
441;441;3;NTAIPKRZKZF
442;442;28;CQFUDLVGECNUR
443;443;49;GZGPRUSUAFFOBKXRW
444;444;4;CHVFXXMJU
445;445;9;KGUINUDQ
446;446;8;WFKYBIFBDANRYCVVIR
447;447;14;RGQTLNOHEDWPQHNWICBJ
448;448;40;LPHLZERXTOGHEKJKW
449;449;31;EWYSESRSEEEDSGSPZG
450;450;36;WDFOAKYWJCHEZC
451;451;38;DDNLEOPC
452;452;30;GWZXDGEHFSTS
453;453;6;KJPKCHOTXLLGDA
454;454;15;JTHESBLWNTQ
455;455;7;USOVBBLKGMHQQ
456;456;21;TDDDVPVUIZKLIQPWLXXC
457;457;9;XXOPBYGDYLOBCS
458;458;48;YWLWNDEDISMJQ
459;459;29;YKDCAFU
460;460;2;QEFUGBDLSUIQ
461;461;33;GJZYUXLP
462;462;44;LPPVBA
463;463;18;OUULGED
464;464;48;FKNPPKDVOPBMIURET
465;465;38;SQMOKZCXW
466;466;44;MILACZOSJAY
467;467;2;BFGEBQHOAOY
468;468;24;HVPGEHF
469;469;49;GBJNKKQPPMKHTFFHEZJ
470;470;7;MGHPHEHSWOMCBAVM
471;471;8;IRKQLEKNHXXWBS
472;472;14;EOLFPHN
473;473;23;VGRJSTYIMIOUULVH
474;474;41;BVHDD
475;475;8;FAYWVCOUVQLQGAU
476;476;43;PYMFZVTDGIJAKNHC
477;477;42;DGDACK
478;478;18;DZAWIWSQZKHRCN
479;479;24;EZWMDNTMBK
480;480;20;TYENUU
481;481;25;KRLLNOL
482;482;5;SXGJETNSI
483;483;26;ERQSTE
484;484;34;VUBRLWKKJTLIV
485;485;18;TRDXRWSP
486;486;27;OZZAVIMKEOONYYIZ
487;487;30;TRNPOQILVORJJUYZ
488;488;29;EKKPCVMI
489;489;48;SKFCWRY
490;490;8;NTFHKBWKTNKZ
491;491;24;HCKGEPYIKCFLBFEMJB
492;492;1;OJNVMLXGZTUME
493;493;27;JMKLUHRSF
494;494;18;XXRPAQNNMAWDXB
495;495;37;NNUJMHNYMNAYXUBS
496;496;27;SVKLOT
497;497;18;PECGCVFVQHKJPBK
498;498;2;WFCIUHGCPLDA
499;499;20;RBYJFO
500;500;5;KKHLYOLZQFPZOCEUBL
501;501;2;NIFPTAVUOEOJDQLSPCO
502;502;22;QPZZFM
503;503;27;DNOHD
504;504;45;IXDFRNKNXU
505;505;36;JBIECWOQIOQMQPQPY
506;506;1;WKCEXGRGMOF
507;507;4;AFPIQIMKGEVAEIBHQG
508;508;49;HRTWKDELPMYQHAEDXO
509;509;46;ZQQWEXSYSI
510;510;1;ULWELWCZAYZ
511;511;50;IOJRAWYJEMAC
512;512;20;MJASEXAAVLSYMXFCW
513;513;30;EUIDZQKTDRFGSWXBLVS
514;514;24;EBLJKKNFYPXNVLI
515;515;29;ZQMAPILRLSS
516;516;15;HXMRYJBVQ
517;517;34;QTROPLTRYTIQUOUYYOOT
518;518;39;EJZVWRZP
519;519;42;JUDYPZA
520;520;29;EHYFNNWQKOHJLGCCX
521;521;30;PKYDIHOP
522;522;16;XUIDOMKRG
523;523;13;MSXNO
524;524;39;XOPFBGWHQVFSCWMZ
525;525;43;HUCAHODDTVCNRTMAR
526;526;34;PNBWPUWNG
527;527;8;PPXXBJYUPPECNJEENRHB
528;528;25;WKJBSPXPUQCDHPNAW
529;529;36;OQHVRQA
530;530;33;ERCKMSBHEOZNHPTBBGVF
531;531;21;EHZPELRTVE
532;532;13;ZGLOTF
533;533;6;UHFVME
534;534;2;CJJKJFX
535;535;15;AMJMLBHGJPLKRHWWDBCM
536;536;49;OCOOTKPCUSTQHTBIYDSV
537;537;13;WKJSBJCCLPNS
538;538;28;YXBCXBO
539;539;24;OIHFBOU
540;540;49;ETLFRT
541;541;1;VZDHHQ
542;542;42;TBNMRIK
543;543;21;XFDZEPP
544;544;7;BIJDNOMTLOM
545;545;4;UEJHERIHJ
546;546;8;SXMTT
547;547;32;PRFNDOJ
548;548;43;WQBWHGCJWEKWTDATRPJ
549;549;27;MKSPJITJFBTMBERYOYPT
550;550;39;BYXMPDMLH
551;551;44;ICRVZOZDJLUDX
552;552;35;WRAIPAHWKGABLW
553;553;2;IIMKHRPEJIRKYCTYORUN
554;554;4;AYATEAOLT
555;555;3;WOPXCCHIMTQIFLBN
556;556;24;CZJDUFJAR
557;557;44;ABAOD
558;558;45;VDURTAAVXTFYLLYSXACA
559;559;38;LUKILRFPPMIXWTJOJZBE
560;560;30;NEAPQX
561;561;40;XLPZBYFNKMDSBXUG
562;562;14;PLQZCGAGVWVARKBTPORI
563;563;38;RYPAJQMKMTSTE
564;564;47;GIRSQGDLDZLTOHHQZ
565;565;20;OPWJDBDXY
566;566;11;UOMSXX
567;567;10;BTRGR
568;568;42;ENHQQ
569;569;25;RNIYBVYTLWZZXVTBYMWL
570;570;46;RCBJR
571;571;35;FZGDJV
572;572;50;FQSGRFSKFQMRSMQAG
573;573;46;RGCNRPL
574;574;23;QUVSSMENVVYLPMKRVR
575;575;37;RYQGIOVGOPLDERAPF
576;576;49;FDXCMCHHVDEVSUCD
577;577;44;QHUZMJQ
578;578;2;EEQMCMUISTBYO
579;579;50;GOQXPFCJMGCKNMAG
580;580;46;RXSMSQAXDLNCRTMEPYN
581;581;46;SEEVTE
582;582;35;PCAFIGYPFIIVZCQ
583;583;27;OGGVQCWDVRDKJHJGKR
584;584;15;VVLVPHXMAZOLHFXLSDIJ
585;585;3;MGZEXNGGEPMRRDOKT
586;586;28;SLHREXHPATC
587;587;3;HQAYMMKLEGPJMJDPJJK
588;588;8;EMUUS
589;589;40;EASRLIVU
590;590;42;RLLBFVPDRZMJXNXZLPC
591;591;3;BDXTZCBMFYGOPESOA
592;592;36;MXHXWXIKMXH
593;593;48;NDMYIXABIHUBZY
594;594;30;WDELDUEQHXH
595;595;41;UDPDWNZSWXHEMBDKHP
596;596;47;TJFBALPWCFNQTWJ
597;597;2;RTHZRALFWZPPDWXIBVVL
598;598;21;RQJTEWZVLFTLYA
599;599;5;OSWUMHPROOZU
600;600;42;TZFGSKYNMF
601;601;42;DQJKEDSUNBYDSNU
602;602;11;QGQYJACEWMLURJSQIL
603;603;39;UGUJXK
604;604;25;XTFRBESPUICUT
605;605;19;HJILOXII
606;606;11;QNJTOVISGYEOPHUTSJF
607;607;19;NEGZVHWIBLBMAO
608;608;17;GGLLIREU
609;609;37;CHXCLHQUKS
610;610;45;ROQUXSQ
611;611;48;AEZGWNMOPVEHZFPVXJJH
612;612;2;GHJRSYVGKL
613;613;24;AIKDCPKMZCS
614;614;10;GKUMUCNIAUZP
615;615;3;YZBUCCCE
616;616;25;WUSNUPZQWPOWZXD
617;617;35;ZFSNPVUGNENSBS
618;618;43;OPYUYXFGMVB
619;619;41;GPRZRETOHMYABCDCFUKO
620;620;42;DCYVEXPBIVUX
621;621;4;NSBQJSODOR
622;622;30;YJSCKFBHCJQPPNCFZCTN
623;623;36;PLRZFL
624;624;46;PGYFOAEVGUALOFYEM
625;625;2;CVCVFCEXVGYHDLGQJN
626;626;16;YODKVUPBRXRLCKI
627;627;30;YRZCMCLOPQFQEPLWTXM
628;628;21;YRBNFNWDH
629;629;25;NRCBUFRGCOH
630;630;50;ZJXJGBEPHD
631;631;10;KBCIWWCJXZFJJ
632;632;49;RODWWBVGFKFTVFMF
633;633;5;DUGVUANU
634;634;29;ANBEBOCQHHO
635;635;42;TMNNCDHVQVAJPCRJIH
636;636;22;TTKJGORQWEYPDUN
637;637;18;NWFSV
638;638;25;CLQQCSEC
639;639;45;SGQKPEQKWTZVB
640;640;5;YPRQULCEWTAQXEJCU
641;641;32;BLXATZFDGVRLWON
642;642;23;YCTRIBAQFDBZFSGKDBHK
643;643;22;LAIWJOC
644;644;5;FTUEXZEWQBVNCLXR
645;645;25;TYUITKXSGFRMEMJXN
646;646;22;FEZQJE
647;647;17;NOOVTINYVFPLN
648;648;9;LFKNVIYHIXOTEQKLY
649;649;29;TRJSNNJSAEZGWFMIDCYY
650;650;14;JKJFWFNL
651;651;17;XQJBEDRHPILGTHS
652;652;34;WQKSNLJT
653;653;34;LMOBW
654;654;41;GNQSJKXJHHMT
655;655;20;EJBODCWT
656;656;14;HVYZGFAAOJRNGFCILNR
657;657;25;BOFJV
658;658;48;YRWOAANTSJSZSXFQECL
659;659;44;AROUGNDIZIOWCWIVBLY
660;660;46;ATJUFFAUXCKIGHF
661;661;11;LLNOHECN
662;662;41;UZTWTRMJMREYKTNUUEIM
663;663;27;KGFEJATFAHGQDIY
664;664;29;UUBYWGEKAYW
665;665;6;MIMCYJ
666;666;41;AROFJLVKZPXJ
667;667;35;OLIIRVISZYLKDTO
668;668;32;JUOOXYY
669;669;2;OQCQVEDRVRSXLWVDDMUI
670;670;26;MXJIFKTBWMRBRWHOCSA
671;671;45;KCIUUTBSRDBSPWHHVOG
672;672;11;TZSUEEU
673;673;49;CTMEGEGFUPSKPPCKNXQ
674;674;14;YLHUCARLM
675;675;4;EPNDJIRPXHAUOQHHV
676;676;18;SRLJOPLEUSHZCXS
677;677;15;BPEWSDWJKNUZLUG
678;678;12;SKYPAUMMDUVEAAXM
679;679;14;LEUTQUKSYZXBHDWIXBO
680;680;5;SGXRUYRXBBSUKPMZBZM
681;681;30;ITEEUEMDSCXF
682;682;8;ANHQSIJZCJLMKAGN
683;683;32;DPGGSOPQ
684;684;5;ZIUILZWDSUXHMXF
685;685;25;NMNKVMSFAWOPZCUWSS
686;686;21;QGWYXVWLRZSOI
687;687;39;AUTSQUBAWUBHDHAP
688;688;49;TEBTTDFEKEFW
689;689;24;RGAUSNQXZJAEE
690;690;29;SZVQFWKMZTYPKVGMH
691;691;39;LFDPYOCUJJMAVLFXNPEP
692;692;20;GNJYXMQLGVODYHTMWZY
693;693;47;QORCHQENTG
694;694;31;VAPQYJ
695;695;19;DFRPLQ
696;696;46;QAZSDHVYIQKCPWP
697;697;46;PDZSVIFAZR
698;698;25;UBAZAPQAIZGQKHZVRVQ
699;699;20;TLMBELA
700;700;26;HQLQWUGYHKICIRFTJS
701;701;9;ZFZPZXYOFCFLIGWNHTF
702;702;38;LPDRFD
703;703;10;DDENERTXHVGPL
704;704;8;YVODYOSTLARIH
705;705;26;LJMYJ
706;706;48;FGLJVM
707;707;11;LDSJUJWNLXNZ
708;708;28;LLCZQEOB
709;709;19;MVYJNBLIFSICT
710;710;31;LCQDEYADOJAUBJUNSHK
711;711;44;TPHAPSSJRKGWXBKO
712;712;13;RUUOWLR
713;713;42;OJLZELNALGOUVSIAXVSQ
714;714;42;RFRURUUR
715;715;33;AZIFFLAKWIWLSRVDF
716;716;7;RPKCEDUNISQZQVZAAGS
717;717;16;EAXDUPYTYWFC
718;718;5;UCWRNXIGFMEWQC
719;719;26;EQGYBRFSKZERQPVAJL
720;720;20;XGXHLOAHFPOOII
721;721;33;FZIBSKRXUPOFQO
